nc_058852.1 salvia honania chloroplast, complete genome
nc_065866.1 salvia prionitis chloroplast, complete genome
nc_059718.1 salvia daiguii chloroplast, complete genome
nc_053380.1 salvia mekongensis plastid, complete genome
nc_053372.1 salvia brachyloma plastid, complete genome
nc_050895.1 salvia digitaloides chloroplast, complete genome
nc_084046.1 salvia grandifolia voucher gx hu & jx yang 0427 chloroplast, complete genome
nc_063912.1 salvia dabieshanensis voucher 0165 chloroplast, complete genome
nc_067735.1 salvia glabrescens voucher 2019-26 chloroplast, complete genome
nc_067736.1 salvia glutinosa voucher 2019-11 chloroplast, complete genome
nc_050903.1 salvia yunnanensis chloroplast, complete genome
nc_064053.1 salvia chienii plastid, complete genome
nc_053374.1 salvia plectranthoides plastid, complete genome
nc_050901.1 salvia splendens chloroplast, complete genome
nc_050896.1 salvia meiliensis chloroplast, complete genome
nc_067740.1 salvia castanea voucher gx hu & jx yang 0428 chloroplast, complete genome
nc_046838.1 salvia hispanica chloroplast, complete genome
nc_064054.1 salvia sonchifolia plastid, complete genome
nc_063913.1 salvia subbipinnata voucher yjx-04 chloroplast, complete genome
nc_053376.1 salvia flava plastid, complete genome
nc_061230.1 salvia substolonifera chloroplast, complete genome
nc_067737.1 salvia nubicola voucher flph 12-124 (pe) chloroplast, complete genome
nc_020431.1 salvia miltiorrhiza chloroplast, complete genome
nc_053379.1 salvia cyclostegia plastid, complete genome
nc_050900.1 salvia sclarea chloroplast, complete genome
nc_069921.1 buddleja davidii chloroplast, complete genome
nc_069935.1 buddleja aromatica chloroplast, complete genome
nc_069936.1 buddleja brachystachya chloroplast, complete genome
nc_068052.1 buddleja globosa chloroplast, complete genome
nc_069929.1 buddleja paniculata chloroplast, complete genome
nc_042766.1 buddleja colvilei isolate gj2 chloroplast, complete genome
nc_069938.1 buddleja microstachya chloroplast, complete genome
nc_069928.1 buddleja japonica chloroplast, complete genome
nc_063329.1 buddleja officinalis chloroplast, complete genome
nc_069927.1 buddleja nivea chloroplast, complete genome
nc_042767.1 buddleja sessilifolia isolate gj9 chloroplast, complete genome
nc_069944.1 buddleja forrestii chloroplast, complete genome
nc_069942.1 buddleja myriantha chloroplast, complete genome
nc_069931.1 buddleja macrostachya chloroplast, complete genome
nc_069924.1 buddleja asiatica chloroplast, complete genome
nc_069930.1 buddleja yunnanensis chloroplast, complete genome
nc_069926.1 buddleja candida chloroplast, complete genome
nc_069925.1 buddleja fallowiana chloroplast, complete genome
nc_069941.1 buddleja x wardii chloroplast, complete genome
nc_069940.1 buddleja caryopteridifolia chloroplast, complete genome
nc_063579.1 buddleja lindleyana chloroplast, complete genome
nc_057238.1 buddleja alternifolia chloroplast, complete genome
nc_069934.1 buddleja americana chloroplast, complete genome
nc_069932.1 buddleja curviflora chloroplast, complete genome
nc_069937.1 buddleja delavayi chloroplast, complete genome
nc_069939.1 buddleja subcapitata chloroplast, complete genome
nc_069923.1 buddleja crispa chloroplast, complete genome
nc_069943.1 buddleja bhutanica chloroplast, complete genome
nc_069922.1 buddleja albiflora chloroplast, complete genome
nc_069933.1 buddleja salviifolia chloroplast, complete genome
nc_054175.1 primulina ophiopogoides chloroplast, complete genome
nc_065793.1 primulina fimbrisepala voucher kfc4144 chloroplast, complete genome
nc_069824.1 primulina maciejewskii isolate gdys voucher lsfc63-1 chloroplast, complete genome
nc_065797.1 primulina pengii voucher hast:c.i peng 24024 chloroplast, complete genome
nc_065796.1 primulina medica voucher hast:k.f. chung 2962 chloroplast, complete genome
nc_069829.1 primulina versicolor isolate 988-8 voucher ylh988 chloroplast, complete genome
nc_065794.1 primulina hezhouensis voucher hast:k.f. chung 2914 chloroplast, complete genome
nc_069823.1 primulina mabaensis isolate szy01 voucher lsfc28-1 chloroplast, complete genome
nc_036414.1 primulina linearifolia chloroplast, complete genome
nc_069827.1 primulina suichuanensis isolate 965-1 voucher ylh965 chloroplast, complete genome
nc_069826.1 primulina renifolia isolate gxda03_3 voucher gxda03 chloroplast, complete genome
nc_065795.1 primulina lutea voucher hast:k.f. chung 2916 chloroplast, complete genome
nc_069822.1 primulina luochengensis isolate lcwc_10 voucher lcwc chloroplast, complete genome
nc_036413.1 primulina huaijiensis chloroplast, complete genome
nc_069819.1 primulina alutacea isolate 978-3 voucher ylh978 chloroplast, complete genome
nc_069828.1 primulina tabacum isolate gdlz voucher lsfc59-2 chloroplast, complete genome
nc_065792.1 primulina cordata voucher hast:k.f. chung 3021 chloroplast, complete genome
nc_065798.1 primulina sclerophylla voucher hast:k.f. chung 2971 chloroplast, complete genome
nc_069821.1 primulina lobulata isolate gdyd voucher lsfc37-3 chloroplast, complete genome
nc_069820.1 primulina hunanensis isolate 907-8 voucher ylh907 chloroplast, complete genome
nc_069830.1 primulina xiziae isolate zjcs voucher lsfc19-1 chloroplast, complete genome
nc_036101.1 primulina liboensis voucher clib14r20170516 chloroplast, complete genome
nc_069825.1 primulina polycephala isolate 933-1 voucher ylh933 chloroplast, complete genome
nc_068075.1 primulina cardaminifolia chloroplast, complete genome
nc_069200.1 primulina hedyotidea chloroplast, complete genome
nc_042446.1 chionanthus ramiflorus voucher p:j.k. munzinger 245 (p00155042) chloroplast, complete genome
nc_042447.1 chionanthus virginicus isolate coll. kew-1976292 chloroplast, complete genome
nc_042282.1 chionanthus brassii voucher mpu:j.f. molino 3078 chloroplast, complete genome
nc_042283.1 chionanthus implicatus voucher k:n. pitman 543 chloroplast, complete genome
nc_042372.1 chionanthus mala-elengi voucher p:c.f. van beusekom & c. phengklai 3048 (p03426140) chloroplast, complete genome
nc_042270.1 chionanthus filiformis isolate peic018 voucher esa:d. sampaio 182 (esa 109374) chloroplast, complete genome
nc_042374.1 chionanthus thorelii voucher p:m.f. newman 2145 (p00577947) chloroplast, complete genome
nc_036979.1 chionanthus parkinsonii voucher m. van de bult 1222 [m] chloroplast, complete genome
nc_042261.1 chionanthus pedunculatus voucher mnhn:p:h.s. mackee 43644 (p00096934) chloroplast, complete genome
nc_042385.1 chionanthus maxwellii voucher p:m.f. newman, lao 189 (p03406941) chloroplast, complete genome
nc_042386.1 chionanthus polygamus voucher k:t. & p. 148 (k000224268) chloroplast, complete genome
nc_042281.1 chionanthus axillaris voucher p:b. hyland 11357 (p04254621) chloroplast, complete genome
nc_042269.1 chionanthus compactus voucher m:j.r. johnston 136 chloroplast, complete genome
nc_042373.1 chionanthus quadristamineus voucher k:a. papadopulos 366 chloroplast, complete genome
nc_042786.1 chionanthus panamensis voucher k:e. martinez & c.h. ramos 26308 chloroplast, complete genome
nc_036980.1 chionanthus rupicola voucher w. takeuchi et al. 15149 [k] chloroplast, complete genome
nc_035000.1 chionanthus retusus chloroplast, complete genome
nc_042387.1 chionanthus pubescens voucher k:j. mostacero-leon et al. 1762 chloroplast, complete genome
nc_042384.1 chionanthus macrobotrys voucher k:s. collenette 905 chloroplast, complete genome
nc_042284.1 chionanthus ligustrinus voucher p:a.h. liogier 15164 (p03384280) chloroplast, complete genome
nc_068038.1 erythranthe minor chloroplast, complete genome
nc_077628.1 erythranthe nepalensis chloroplast, complete genome
nc_030212.1 erythranthe lutea chloroplast, complete genome
nc_068031.1 erythranthe cardinalis chloroplast, complete genome
nc_068033.1 erythranthe dentiloba chloroplast, complete genome
nc_068042.1 erythranthe tilingii chloroplast, complete genome
nc_068037.1 erythranthe lewisii chloroplast, complete genome
nc_068032.1 erythranthe decora chloroplast, complete genome
nc_068034.1 erythranthe glaucescens chloroplast, complete genome
nc_068030.1 erythranthe caespitosa chloroplast, complete genome
nc_068041.1 erythranthe pardalis chloroplast, complete genome
nc_068029.1 erythranthe arvensis chloroplast, complete genome
nc_077630.1 erythranthe platyphylla chloroplast, complete genome
nc_068036.1 erythranthe laciniata chloroplast, complete genome
nc_068039.1 erythranthe nasuta chloroplast, complete genome
nc_077629.1 erythranthe szechuanensis chloroplast, complete genome
nc_068035.1 erythranthe guttata chloroplast, complete genome
nc_068040.1 erythranthe nudata chloroplast, complete genome
nc_068028.1 erythranthe parviflora chloroplast, complete genome
nc_037457.1 adenocalymma marginatum voucher l.h.m. fonseca 117 chloroplast, complete genome
nc_036501.1 adenocalymma peregrinum voucher l.h.m. fonseca 444 chloroplast, complete genome
nc_036496.1 adenocalymma biternatum voucher m.r. pace 521 chloroplast, complete genome
nc_036499.1 adenocalymma hatschbachii voucher l.h.m. fonseca 262 chloroplast, complete genome
nc_036495.1 adenocalymma aurantiacum voucher l.g. lohmann 658 chloroplast, complete genome
nc_037456.1 adenocalymma divaricatum voucher l.h.m. fonseca 281 chloroplast, complete genome
nc_036494.1 adenocalymma allamandiflorum voucher b.m. gomes 671 chloroplast, complete genome
nc_036500.1 adenocalymma pedunculatum voucher l.h.m. fonseca 267 chloroplast, complete genome
nc_037458.1 adenocalymma nodosum voucher l.g. lohmann 266 chloroplast, complete genome
nc_037459.1 adenocalymma trifoliatum voucher l.h.m. fonseca 413 chloroplast, complete genome
nc_036498.1 adenocalymma cristicalyx voucher l.g. lohmann 705 chloroplast, complete genome
nc_036502.1 adenocalymma subspicatum voucher r.g. udulutsch 2758 chloroplast, complete genome
nc_036497.1 adenocalymma bracteatum voucher l.h.m. fonseca 100 chloroplast, complete genome
nc_037455.1 adenocalymma acutissimum voucher l.h.m. fonseca 208 chloroplast, complete genome
nc_059813.1 scutellaria franchetiana chloroplast, complete genome
nc_059812.1 scutellaria tuberifera chloroplast, complete genome
nc_027262.1 scutellaria baicalensis chloroplast, complete genome
nc_034693.1 scutellaria lateriflora plastid, complete genome
nc_072113.1 scutellaria forrestii isolate s08 chloroplast, complete genome
nc_061416.1 scutellaria likiangensis chloroplast, complete genome
nc_072110.1 scutellaria tenax isolate s02 chloroplast, complete genome
nc_072114.1 scutellaria yunnanensis isolate s05 chloroplast, complete genome
nc_060314.1 scutellaria rehderiana chloroplast, complete sequence
nc_059814.1 scutellaria barbata chloroplast, complete genome
nc_057255.1 scutellaria amoena chloroplast, complete genome
nc_072112.1 scutellaria caryopteroides isolate s07 chloroplast, complete genome
nc_028533.1 scutellaria insignis chloroplast, complete genome
nc_052883.1 scutellaria scordifolia chloroplast, complete genome
nc_072111.1 scutellaria indica isolate s06 chloroplast, complete genome
nc_057189.1 scutellaria meehanioides chloroplast, complete genome
nc_050161.1 scutellaria tsinyunensis chloroplast, complete genome
nc_058810.1 paraboea dolomitica chloroplast, complete genome
nc_058809.1 paraboea wenshanensis chloroplast, complete genome
nc_058814.1 paraboea clavisepala chloroplast, complete genome
nc_058813.1 paraboea sinensis chloroplast, complete genome
nc_058817.1 paraboea rufescens chloroplast, complete genome
nc_058819.1 paraboea peltifolia chloroplast, complete genome
nc_058816.1 paraboea dictyoneura chloroplast, complete genome
nc_058818.1 paraboea martinii chloroplast, complete genome
nc_058811.1 paraboea guilinensis chloroplast, complete genome
nc_058812.1 paraboea swinhoei chloroplast, complete genome
nc_058820.1 paraboea filipes chloroplast, complete genome
nc_058815.1 paraboea glutinosa chloroplast, complete genome
nc_043874.1 fraxinus pennsylvanica chloroplast, complete genome
nc_042271.1 fraxinus angustifolia voucher p:g. besnard 42-2014 chloroplast, complete genome
nc_042450.1 fraxinus latifolia isolate coll. kew-1969-14512 voucher k:kepos 45348 chloroplast, complete genome
nc_042452.1 fraxinus xanthoxyloides voucher k:kepos 45350 chloroplast, complete genome
nc_037446.1 fraxinus excelsior chloroplast, complete genome
nc_037171.1 fraxinus chiisanensis plastid, complete genome
nc_063328.1 fraxinus malacophylla chloroplast, complete genome
nc_052770.1 fraxinus hupehensis chloroplast, complete genome
nc_082971.1 fraxinus velutina chloroplast, complete genome
nc_041463.1 fraxinus mandshurica chloroplast, complete genome
nc_042451.1 fraxinus quadrangulata voucher a:14654 (g.w. letterman) chloroplast, complete genome
nc_042449.1 fraxinus americana voucher a:968-79 (r.e. weaver & j. nickerson) chloroplast, complete genome
nc_042424.1 fraxinus lanuginosa voucher mnhn:p:715-88 chloroplast, complete genome
nc_080925.1 pedicularis densispica chloroplast, complete genome
nc_056312.1 pedicularis dissecta chloroplast, complete genome
nc_081482.1 pedicularis striata chloroplast, complete genome
nc_046854.1 pedicularis oederi chloroplast, complete genome
nc_046853.1 pedicularis muscicola chloroplast, complete genome
nc_080922.1 pedicularis lachnoglossa chloroplast, complete genome
nc_080924.1 pedicularis elwesii chloroplast, complete genome
nc_060688.1 pedicularis rudis voucher prudi20211001 chloroplast, complete genome
nc_058762.1 pedicularis shansiensis chloroplast, complete genome
nc_081481.1 pedicularis melampyriflora chloroplast, complete genome
nc_080916.1 pedicularis rhinanthoides chloroplast, complete genome
nc_080929.1 pedicularis alaschanica chloroplast, complete genome
nc_080915.1 pedicularis rupicola chloroplast, complete genome
nc_080927.1 pedicularis corydaloides chloroplast, complete genome
nc_080917.1 pedicularis plicata chloroplast, complete genome
nc_046852.1 pedicularis longiflora chloroplast, complete genome
nc_080919.1 pedicularis mollis chloroplast, complete genome
nc_080928.1 pedicularis chinensis chloroplast, complete genome
nc_087844.1 pedicularis giraldiana chloroplast, complete genome
nc_060560.1 pedicularis cephalantha chloroplast, complete genome
nc_080914.1 pedicularis siphonantha chloroplast, complete genome
nc_080920.1 pedicularis megalantha chloroplast, complete genome
nc_080918.1 pedicularis oliveriana chloroplast, complete genome
nc_036010.1 pedicularis cheilanthifolia chloroplast, complete genome
nc_087843.1 pedicularis bicolor chloroplast, complete genome
nc_080921.1 pedicularis lyrata chloroplast, complete genome
nc_046397.1 pedicularis resupinata chloroplast, complete genome
nc_080930.1 pedicularis kongboensis chloroplast, complete genome
nc_037433.1 pedicularis hallaisanensis chloroplast, complete genome
nc_080926.1 pedicularis crenata chloroplast, complete genome
nc_080923.1 pedicularis gracilis chloroplast, complete genome
nc_029700.1 pedicularis ishidoyana chloroplast, complete genome
nc_080931.1 pedicularis aschistorhyncha chloroplast, complete genome
nc_042918.1 amphilophium paniculatum voucher d. daly 374 chloroplast, complete genome
nc_042917.1 amphilophium ecuadorense voucher d. rubio 1971 chloroplast, complete genome
nc_042903.1 amphilophium gnaphalanthum voucher a.h. gentry 50829 chloroplast, complete genome
nc_042932.1 amphilophium dolichoides voucher g. heiden 1769 chloroplast, complete genome
nc_042916.1 amphilophium dusenianum voucher j. durigon 582 (icn) chloroplast, complete genome
nc_042914.1 amphilophium chocoense chloroplast, complete genome
nc_042933.1 amphilophium carolinae voucher m.m. arbo 9125 chloroplast, complete genome
nc_042931.1 amphilophium lactiflorum voucher a.h. liogier 34305 chloroplast, complete genome
nc_042934.1 amphilophium steyermarkii voucher j.a. steyermark 106874 chloroplast, complete genome
nc_042919.1 amphilophium pilosum voucher g. yuncker 5738 chloroplast, complete genome
nc_042915.1 amphilophium cuneifolium voucher d. sasaki 2290 chloroplast, complete genome
nc_057502.1 osmanthus didymopetalus chloroplast, complete genome
nc_048503.1 osmanthus americanus chloroplast, complete genome
nc_053565.1 osmanthus cooperi chloroplast, complete genome
nc_042377.1 osmanthus fragrans chloroplast, complete genome
nc_042265.1 osmanthus marginatus voucher p:j.p.w. woo 138 (p04074276) chloroplast, complete genome
nc_042462.1 osmanthus delavayi isolate back yard-1 (keith arboretum) chloroplast, complete genome
nc_042264.1 osmanthus insularis voucher m:g. murata 18543 chloroplast, complete genome
nc_042263.1 osmanthus aff. armatus besnard 02-2013 voucher p:g. besnard 02-2013 chloroplast, complete genome
nc_065990.1 osmanthus armatus chloroplast, complete genome
nc_042463.1 osmanthus yunnanensis voucher xx-0-br-19392003 chloroplast, complete genome
nc_071248.1 ligustrum sinense chloroplast, complete genome
nc_071945.1 ligustrum foliosum voucher esk21-257 chloroplast, complete genome
nc_042274.1 ligustrum vulgare voucher g:g.besnard 02-2007 chloroplast, complete genome
nc_042425.1 ligustrum gracile voucher p:g.besnard 03-2015 chloroplast, complete genome
nc_056242.1 ligustrum ovalifolium voucher p-g.besnard 01-2018 chloroplast, complete genome
nc_057246.1 ligustrum quihoui chloroplast, complete genome
nc_071249.1 ligustrum obtusifolium chloroplast, complete genome
nc_071250.1 ligustrum x vicaryi chloroplast, complete genome
nc_056243.1 ligustrum lucidum voucher tan-m.s. vorontsova 2081 chloroplast, complete genome
nc_042454.1 ligustrum japonicum voucher a:201-2000-a chloroplast, complete genome
nc_088461.1 plantago arachnoidea chloroplast, complete sequence
nc_088462.1 plantago arborescens chloroplast, complete sequence
nc_088471.1 plantago komarovii chloroplast, complete sequence
nc_088474.1 plantago minuta chloroplast, complete sequence
nc_088468.1 plantago erecta chloroplast, complete sequence
nc_088477.1 plantago pachyphylla chloroplast, complete sequence
nc_088467.1 plantago daltonii chloroplast, complete sequence
nc_041161.1 plantago depressa chloroplast, complete genome
nc_084063.1 plantago major chloroplast, complete genome
nc_088472.1 plantago lagocephala chloroplast, complete sequence
nc_088479.1 plantago rigida chloroplast, complete sequence
nc_088478.1 plantago rapensis chloroplast, complete sequence
nc_088476.1 plantago myosuros chloroplast, complete sequence
nc_028520.1 plantago media plastid, complete genome
nc_068049.1 plantago lanceolata chloroplast, complete genome
nc_088470.1 plantago himalaica chloroplast, complete sequence
nc_060521.1 plantago asiatica chloroplast, complete genome
nc_088480.1 plantago rupicola chloroplast, complete sequence
nc_088464.1 plantago camtschatica chloroplast, complete sequence
nc_088481.1 plantago virginica chloroplast, complete sequence
nc_088465.1 plantago cavaleriei chloroplast, complete sequence
nc_041421.1 plantago ovata chloroplast, complete sequence
nc_088463.1 plantago aristata chloroplast, complete sequence
nc_047190.1 plantago fengdouensis plastid, complete genome
nc_088469.1 plantago hakusanensis chloroplast, complete sequence
nc_088475.1 plantago muelleri chloroplast, complete sequence
nc_088473.1 plantago lanigera chloroplast, complete sequence
nc_088466.1 plantago cornuti chloroplast, complete sequence
nc_028519.1 plantago maritima plastid, complete genome
nc_041420.1 plantago lagopus chloroplast, complete genome
nc_045085.1 paulownia elongata chloroplast, complete genome
nc_045083.1 paulownia taiwaniana chloroplast, complete genome
nc_045087.1 paulownia fortunei chloroplast, complete genome
nc_045088.1 paulownia kawakamii chloroplast, complete genome
nc_045086.1 paulownia fargesii chloroplast, complete genome
nc_031436.1 paulownia tomentosa isolate pdbk2014-1539 chloroplast, complete genome
nc_045084.1 paulownia catalpifolia chloroplast, complete genome
nc_031435.1 paulownia coreana isolate pdbk2014-1540 chloroplast, complete genome
nc_023464.1 orobanche gracilis chloroplast, complete genome
nc_024845.1 orobanche crenata chloroplast complete genome, specimen voucher bonn:s. wicke oc41
nc_025651.1 orobanche californica chloroplast complete genome, specimen voucher pac:s.wicke oc54
nc_031442.1 orobanche densiflora chloroplast, complete genome
nc_031444.1 orobanche rapum-genistae chloroplast, complete genome
nc_068242.1 orobanche coerulescens chloroplast, complete genome
nc_072314.1 orobanche pycnostachya chloroplast, complete genome
