nc_072328.1 lemna turionifera plastid, complete genome
nc_010109.1 lemna minor chloroplast, complete genome
nc_054336.1 homalomena occulta chloroplast, complete genome
nc_048519.1 enhalus acoroides chloroplast, complete genome
nc_018541.1 elodea canadensis chloroplast, complete genome
nc_027272.1 dieffenbachia seguine chloroplast, complete genome
nc_060847.1 cryptocoryne elliptica chloroplast, complete genome
nc_051871.1 carlephyton glaucophyllum voucher mo:101527 chloroplast, complete genome
nc_051949.1 butomus umbellatus chloroplast, complete genome
nc_060996.1 blyxa aubertii plastid, complete genome
nc_056328.1 arisarum simorrhinum voucher mo:101519 chloroplast, complete genome
nc_072558.1 anthurium andraeanum cultivar alabama voucher hz0711 chloroplast, complete genome
nc_051870.1 anthurium huixtlense voucher 63309 (mo) chloroplast, complete genome
nc_060696.1 alocasia cucullata chloroplast, complete genome
nc_087718.1 alisma gramineum chloroplast, complete sequence
nc_085165.1 alisma triviale voucher khd:khd00071802 chloroplast, complete genome
nc_087717.1 alisma canaliculatum chloroplast, complete sequence
nc_087719.1 alisma lanceolatum chloroplast, complete sequence
nc_085164.1 alisma subcordatum voucher us:si 412 chloroplast, complete genome
nc_087720.1 alisma wahlenbergii chloroplast, complete sequence
nc_044108.1 alisma plantago-aquatica chloroplast, complete genome
