nc_060649.1 persicaria perfoliata chloroplast, complete genome
nc_073006.1 persicaria lapathifolia chloroplast, complete genome
nc_082251.1 persicaria dissitiflora voucher sd313 chloroplast, complete genome
nc_082250.1 persicaria bungeana voucher sd376 chloroplast, complete genome
nc_073007.1 persicaria capitata chloroplast, complete genome
nc_084400.1 persicaria tinctoria voucher shui1 chloroplast, complete genome
nc_082253.1 persicaria glabra voucher sd291 chloroplast, complete genome
nc_082256.1 persicaria kawagoeana voucher sd299 chloroplast, complete genome
nc_082252.1 persicaria foliosa voucher sd298 chloroplast, complete genome
nc_065785.1 persicaria orientalis chloroplast, complete genome
nc_082259.1 persicaria nepalensis voucher sd303 chloroplast, complete genome
nc_082260.1 persicaria posumbu voucher sd295 chloroplast, complete genome
nc_082257.1 persicaria longiseta voucher sd662 chloroplast, complete genome
nc_067968.1 persicaria senticosa chloroplast, complete genome
nc_082261.1 persicaria sagittata voucher sd310 chloroplast, complete genome
nc_056952.1 persicaria japonica voucher on-2020-099 plastid, complete genome
nc_082254.1 persicaria glacialis voucher sd306 chloroplast, complete genome
nc_050358.1 persicaria chinensis chloroplast, complete genome
nc_071834.1 persicaria viscosa chloroplast, complete genome
nc_068870.1 persicaria neofiliformis voucher zhj20-003 chloroplast, complete genome
nc_084112.1 persicaria jucunda chloroplast, complete genome
nc_082258.1 persicaria maculosa voucher sd289 chloroplast, complete genome
nc_082262.1 persicaria thunbergii voucher sd308 chloroplast, complete genome
nc_079578.1 persicaria criopolitana chloroplast, complete genome
nc_071233.1 persicaria amphibia chloroplast, complete genome
nc_058319.1 persicaria filiformis chloroplast, complete genome
nc_082255.1 persicaria hastatosagittata voucher sd403 chloroplast, complete genome
nc_061176.1 persicaria runcinata chloroplast, complete genome
nc_082263.1 persicaria viscofera voucher sd287 chloroplast, complete genome
nc_067040.1 persicaria hydropiper chloroplast, complete genome
nc_040941.1 phytolacca acinosa voucher 14cs9097 (kun) plastid, complete genome
nc_068266.1 phytolacca icosandra chloroplast, complete genome
nc_067846.1 phytolacca americana chloroplast, complete genome
nc_068267.1 phytolacca rivinoides chloroplast, complete genome
nc_068261.1 phytolacca dioica chloroplast, complete genome
nc_068262.1 phytolacca latbenia chloroplast, complete genome
nc_068264.1 phytolacca japonica chloroplast, complete genome
nc_068265.1 phytolacca thyrsiflora chloroplast, complete genome
nc_068263.1 phytolacca polyandra chloroplast, complete genome
nc_041113.1 phytolacca insularis chloroplast, complete genome
nc_059013.1 beta macrorhiza genome assembly, organelle: plastid:chloroplast
nc_059012.1 beta vulgaris subsp. vulgaris genome assembly, organelle: plastid:chloroplast
nc_059019.1 beta vulgaris subsp. adanensis genome assembly, organelle: plastid:chloroplast
nc_059015.1 beta vulgaris subsp. maritima genome assembly, organelle: plastid:chloroplast
nc_059010.1 beta corolliflora genome assembly, organelle: plastid:chloroplast
nc_059018.1 beta intermedia genome assembly, organelle: plastid:chloroplast
